회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)대웅제약,069620,2017/12,164500,56.16,20.95,4.44,1.66,32.58,12.15,2.38,0.89,29.39,6.9,1053517341,36724783,313501380,97271337,866755277,44634790
(주)대웅제약,069620,2018/12,188500,1779.52,1032.51,5.72,3.32,49.03,28.45,2.79,1.62,34.67,0.27,1076308746,1481271,326932215,99836240,943522107,30765389
(주)대웅제약,069620,2019/12,137500,124.3,73.32,5.53,3.26,66.19,39.04,2.5,1.48,31.03,3.71,1099982039,20228348,382179962,99725680,1005179736,31447273
(주)대웅제약,069620,2020/12,165000,1057.6,233.3,7.11,1.57,33.75,7.44,3.51,0.78,50.37,0.56,1186735400,3138751,377405863,104973664,944751591,12626362
(주)대웅제약,069620,2021/12,148000,67,38.2,5.21,2.97,50.02,28.51,2.27,1.3,16.51,6.01,1259655414,35795056,391468932,111236808,1055169533,95499948
(주)대웅제약,069620,2022/12,158500,46.65,30.3,4.76,3.09,24.49,15.91,1.95,1.27,16.27,7.62,1374022214,48561673,461310831,139290731,1161253630,105963323
(주)대한항공,003490,2013/12,31200,0,0,1.73,0.95,1.89,1.04,0.28,0.16,9.12,-12.51,20964254228,-290459634,1123911312,0,11712354062,-18000856
(주)대한항공,003490,2014/12,47450,0,0,1.83,1.09,1.65,0.99,0.26,0.16,8.71,-9.67,21420446969,-205476811,1136822618,0,11680398140,372507715
(주)대한항공,003490,2015/12,27700,0,0,1.92,0.95,1.45,0.72,0.34,0.17,6.7,-19.07,23048939945,-407682308,1162726285,0,11308423373,859217822
(주)대한항공,003490,2016/12,27350,0,0,2.08,1.33,0.96,0.61,0.23,0.15,5.92,-29.95,22706038038,-591360924,1205861351,0,11502876673,1079003552
(주)대한항공,003490,2017/12,33850,3.96,2.55,1.09,0.7,1.28,0.82,0.3,0.2,6.34,34.1,23423066865,907879962,1186479441,0,11802818528,956151143
(주)대한항공,003490,2018/12,33050,0,0,1.47,0.93,1.47,0.93,0.3,0.19,7.21,-3.67,24368468723,-120399329,1348942151,0,12646864991,651023788
(주)대한항공,003490,2019/12,28500,0,0,1.57,0.82,1.74,0.91,0.33,0.17,7.86,-19.48,25758375652,-568732636,1254319555,0,12291667990,286386447
(주)대한항공,003490,2020/12,27200,0,0,0.93,0.39,2.01,0.85,0.39,0.17,8.96,-6.29,24747289887,-194631399,624318430,0,7405005608,238334950
(주)대한항공,003490,2021/12,29350,17.44,12.54,1.66,1.19,3.18,2.29,1.27,0.91,6.92,12.34,26193031955,638690221,661590161,0,8753416403,1464438013
(주)대한항공,003490,2022/12,22950,6.76,4.23,1.38,0.86,2.24,1.4,0.9,0.56,4.15,21.97,28065730615,1779642637,934361613,0,13412724921,2883641014
(주)더블유게임즈,192080,2014/12,,,,,,,,,,,,50769748,27908422,41939269,1323723,71256798,29317530
(주)더블유게임즈,192080,2015/12,,0,0,0,0,0,0,0,0,24.76,9.28,382513664,34161459,90542503,4957558,122441546,31899043
(주)더블유게임즈,192080,2016/12,,0,0,0,0,0,0,0,0,14.83,13.09,392720415,48839781,109915584,7900739,155159525,45243941
(주)더블유게임즈,192080,2017/12,,0,0,0,0,0,0,0,0,15.03,9.04,419734962,35364189,101736363,10051242,161222279,59485915
(주)더블유게임즈,192080,2018/12,,0,0,0,0,0,0,0,0,14.02,19.02,540130693,87761134,116424395,11644408,193052704,76628309
(주)더블유게임즈,192080,2019/12,49850,12.95,7.47,2.23,1.28,19.13,11.03,7.13,4.11,11.2,18.93,692039878,110292805,121880887,12874035,200271921,78391033
(주)더블유게임즈,192080,2020/12,60200,11.83,4.88,2.27,0.94,18.38,7.58,6.58,2.72,11.1,19.74,742191677,132915746,143181323,15466959,238873234,95691910
(주)더블유게임즈,192080,2021/12,57900,12.67,7.62,1.86,1.12,23.19,13.96,7.44,4.48,14.67,16.04,999668738,125335327,137890945,16076022,213362973,75472028
(주)더블유게임즈,192080,2022/12,47250,0,0,1.74,1.06,26.25,16,5.31,3.24,14.7,-0.96,723165536,-7231350,149900108,20910620,206870475,56970366
(주)동서,026960,2013/12,,0,0,0,0,0,0,0,0,36.87,11.28,959158837,95998377,34297740,0,425764543,39542210
(주)동서,026960,2014/12,,0,0,0,0,0,0,0,0,50.43,11.02,989883955,98911924,37051954,0,453718087,40590825
(주)동서,026960,2015/12,,0,0,0,0,0,0,0,0,79.65,9.96,1032915002,93307750,38567221,0,462297464,35670491
(주)동서,026960,2016/12,27550,29.06,21.15,3.12,2.27,35.52,25.84,7.41,5.39,75.98,11.18,1300920314,119036898,38949214,0,466716608,33063503
(주)동서,026960,2017/12,29100,27.44,20.1,2.92,2.14,34.96,25.61,6.67,4.88,78.92,10.21,1351455235,122250562,44063139,0,503282371,33611089
(주)동서,026960,2018/12,17900,25.47,13.89,2.49,1.36,34.2,18.65,6,3.27,55.87,9.39,1394425636,116652664,43222652,0,495108546,28764073
(주)동서,026960,2019/12,17400,15.94,12.09,1.72,1.31,17.72,13.43,4.94,3.75,61.09,10.53,1456823841,136936403,41342419,0,441898585,25751878
(주)동서,026960,2020/12,33950,31.31,12.07,2.79,1.08,48.45,18.68,8.3,3.2,93.05,8.59,1503228153,116866234,33453741,0,441093215,33748458
(주)동서,026960,2021/12,31000,39.14,24.89,3.26,2.07,54.53,34.68,8.93,5.68,86.53,8.05,1561312544,113354764,37274418,0,496751792,33112243
(주)동서,026960,2022/12,20200,18.65,11.43,2.15,1.32,37.86,23.21,6.06,3.71,53.81,11.33,1605210800,167855852,38789238,0,516898546,34700109
(주)두산,000150,2013/12,139500,26.68,20.62,2.14,1.66,17.26,13.34,2.42,1.87,16,7.7,3291631175,149688056,269330354,25380000,1652024598,195440822
(주)두산,000150,2014/12,103500,19.88,14.29,1.86,1.34,15.02,10.8,1.86,1.34,10.56,9.14,3509598140,186399330,304038488,31621000,1995372674,256448043
(주)두산,000150,2015/12,88500,32,19.05,2,1.19,18.76,11.16,2.11,1.25,10.76,5.85,3478222671,123323660,283078758,28059000,1873556346,213401161
(주)두산,000150,2016/12,105000,20.98,12.07,1.65,0.95,19.3,11.1,1.56,0.9,12.51,7.29,3744673181,153802056,364924436,29282000,2067135545,225371372
(주)두산,000150,2017/12,113000,18.66,11.56,1.87,1.16,18.77,11.63,1.46,0.9,10.31,9.51,3950029379,205100275,415301167,30825000,2624828847,276756646
(주)두산,000150,2018/12,111500,22.87,14.75,1.64,1.05,45.14,29.11,1.24,0.8,11.41,7.04,4734223086,158613281,502934789,31062000,2919400699,253362869
(주)두산,000150,2019/12,70300,4.55,2.39,1.4,0.73,20.24,10.62,1.4,0.73,12.04,28.48,4752375845,633803582,265135503,32002000,2060705340,161921862
(주)두산,000150,2020/12,52400,8.35,3.05,0.59,0.21,0,0,0.97,0.36,16.37,7.51,5413828678,180219915,229982809,25195000,1549335936,108866492
(주)두산,000150,2021/12,118000,7.71,2.41,1.07,0.33,0,0,3.28,1.02,33.12,14.42,5308286887,410821651,199292468,19774000,967464727,66616593
(주)두산,000150,2022/12,83100,15.99,7.36,0.91,0.42,0,0,2.6,1.2,23.46,5.63,5012811344,175466401,225421042,15131000,1077195113,72361153
(주)메리츠금융지주,138040,2013/03,4020,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2014/12,9000,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2015/12,13000,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2016/12,11100,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2017/12,15050,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2018/12,11550,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2019/12,11800,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2020/12,9810,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2021/12,44000,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2022/12,42700,,,,,,,,,,,,,,,,
(주)보령,003850,2013/12,33450,20.58,11.75,2.05,1.17,10.19,5.82,0.89,0.51,8.96,9.24,267559994,14126625,121787957,24502266,327278734,19136761
(주)보령,003850,2014/12,40250,17.01,10.9,2.31,1.48,39.32,25.2,1.02,0.65,9.55,12.8,282409341,21590564,135733331,25750092,359490951,24435022
(주)보령,003850,2015/12,56400,32.4,14.85,3.74,1.71,38.43,17.62,1.64,0.75,12.12,10.88,330928386,20301086,141435764,29720302,401350240,27551821
(주)보령,003850,2016/12,62000,108.56,75.98,3.46,2.42,65.09,45.56,1.49,1.04,13.98,2.87,397900573,5614105,154591397,28962601,409140007,22014107
(주)보령,003850,2017/12,48000,9.84,6.05,2.43,1.5,0,0,1.29,0.79,26.84,24.95,401220772,55351979,166232276,32000651,422721052,1584995
(주)보령,003850,2018/12,9980,24.9,3.41,2.4,0.33,14.63,2,1.24,0.17,12.63,9.06,451316774,22902114,163587836,34432976,460401670,25025998
(주)보령,003850,2019/12,16600,21.49,12.33,2.77,1.59,15.69,9,1.41,0.81,14.65,12.63,511049761,34347745,183895672,37863511,524268670,39098972
(주)보령,003850,2020/12,19050,38.52,14.38,3.58,1.34,23.21,8.67,1.92,0.72,16.04,8.57,643556511,27047673,180397708,35506212,541445422,40316512
(주)보령,003850,2021/12,14600,72.92,32.82,5.37,2.42,27.67,12.46,3.33,1.5,13.23,6.73,808103829,27119750,198021113,39145987,594412562,50122504
(주)보령,003850,2022/12,9060,20.33,12.38,3.17,1.93,37.95,23.1,1.41,0.86,8.46,10.34,870256643,50001284,227068728,40572886,722056442,60264528
(주)비지에프리테일,282330,2017/12,210000,,,,,,,,,,,1231046501,24755495,142167680,477000,938656966,26712563
(주)비지에프리테일,282330,2018/12,204000,26.01,16.2,10.06,6.26,11.59,7.22,0.69,0.43,11.23,31.18,1435845971,154142275,826970627,2978000,5774158186,190268429
(주)비지에프리테일,282330,2019/12,169500,27.29,18.12,8.18,5.43,7.69,5.11,0.69,0.46,6.62,27.53,2114202246,149768379,858864775,3029000,5943404080,195443728
(주)비지에프리테일,282330,2020/12,135500,24.09,14.48,5.1,3.07,6.04,3.63,0.49,0.3,5.71,19.9,2308304394,125895224,893514306,3238000,6167808904,163664236
(주)비지에프리테일,282330,2021/12,145500,22.81,15.54,4.77,3.25,6.35,4.33,0.49,0.34,5.52,20.12,2522959711,146218694,974782002,3441000,6762088873,197158691
(주)비지에프리테일,282330,2022/12,210500,19.89,12.37,4.6,2.86,6.15,3.82,0.5,0.31,6.3,22.26,2857090834,190700183,1117939188,3895000,7577772993,249222456
(주)셀트리온,068270,2013/12,,0,0,0,0,0,0,0,0,30.51,9.7,1972614126,103754409,56999516,25385543,224575287,100983544
(주)셀트리온,068270,2014/12,,0,0,0,0,0,0,0,0,17.31,10.91,2098697249,128060384,103527463,68822391,404621868,195764018
(주)셀트리온,068270,2015/12,,0,0,0,0,0,0,0,0,30.01,13.42,2517717474,202004864,67028640,36690176,528784433,254129600
(주)셀트리온,068270,2016/12,,0,0,0,0,0,0,0,0,40.32,11.15,2722746720,213235761,112174718,76299095,577574962,246217340
(주)셀트리온,068270,2017/12,,0,0,0,0,0,0,0,0,48.39,16.17,3138184505,362083993,141382907,84819020,828917202,477891619
(주)셀트리온,068270,2018/12,222500,206.16,103.61,28.49,14.32,139.4,70.06,57,28.64,64.82,9.51,3370639262,238274200,195162763,112670916,861884226,319413201
(주)셀트리온,068270,2019/12,181000,100.44,60.84,15.51,9.39,65.05,39.4,29.64,17.95,45.77,10.59,3674522702,289754685,208023653,116427322,981870269,363391097
(주)셀트리온,068270,2020/12,359000,105.83,36.33,23.36,8.02,170.53,58.53,32.21,11.06,55.85,16.35,4781125289,514270058,245688593,168118598,1689786997,709774140
(주)셀트리온,068270,2021/12,198000,93.34,46.31,19.77,9.81,66.99,33.24,33.27,16.51,30.25,15.52,5315369384,575982802,212706576,113088478,1615839890,717162653
(주)셀트리온,068270,2022/12,160500,59.18,38.26,10.83,7,1105.71,714.85,15.62,10.1,28.61,12.52,5571483130,511383102,266520456,130836009,1937469297,618890773
(주)신세계,004170,2013/12,252500,22.43,16.16,1.2,0.87,12.7,9.16,1.75,1.26,13,5.5,5379701531,120288669,944704727,0,1543719663,203343025
(주)신세계,004170,2014/12,181000,19.08,13.06,1.06,0.73,7.29,4.99,1.69,1.16,11.37,5.66,5535161424,133412261,949995696,0,1502014514,190047804
